"","Date","Sentiment","log_S&P","log_Int","log_Nikkei","log_Dow","log_GOld","log_LIBOR","log_treasury","log_UNRATE","log_UMSCENT","log_PPIACO","log_DCOILWTICO","Cluster_number"
"1","3/27/2017",0.560478837953876,-0.00102010733915492,-0.0113137599002733,-0.0144814597956575,-0.0022232225635701,0.0103163776316668,-0.000569974570137764,-0.00836824967051653,0,0,0,-0.00593725238596354,"4"
"2","3/24/2017",0.648124437281831,-0.000844352440561025,-0.00747201483870119,0.00924276372915678,-0.00290204278827488,-0.00313014421468427,0.00113008742205832,-0.0041580101486639,0,0,0,0.00636269378782872,"4"
"3","3/23/2017",0.854731798468712,-0.00106083204500163,0.00914007193939814,0.00230440711298741,-0.000228506395888672,0.00144346456498745,-0.00225889918800285,0.0041580101486639,0,0,0,-0.00615125494572588,"4"
"4","3/22/2017",0.545259632477663,0.00188810257429939,-0.0165566695944477,-0.0215348313110191,-0.000324660148917744,0.0113392252632973,0.00680229637202939,-0.0124225199985574,0,0,0,0.0057258135438607,"2"
"5","3/21/2017",0.636818824789582,-0.0124855945152058,-0.0150746386916287,-0.00337164218550079,-0.0114423896529594,-0.000770775478819985,0,-0.0163268932874286,0,0,0,-0.016243369478143,"4"
"6","3/20/2017",0.644401667316758,-0.00201191595529959,-0.0112586633562026,0,-0.000418922041934167,0.00345283170296806,0.00113652083312136,-0.0120725812342691,0,0,0,-0.0114429626852703,"4"
"7","3/17/2017",0.782775873915276,-0.0013151793429671,-0.00836158564724576,-0.00350538620361185,-0.000952546564013446,0.00256687247504939,-0.00227175145285394,-0.0119285708652738,0,0,0,0.000827814616809697,"4"
"8","3/16/2017",0.81187303154671,-0.0016280348187081,0.00556661477205345,0.00065154852622662,-0.000742459615610258,0.019235718828555,0.0370140790031617,0.00793654959573631,0,0,0,-0.000827814616809697,"4"
"9","3/15/2017",0.896017521306128,0.00833987929560642,-0.0341008938471778,-0.00163928062084828,0.00539543297758271,-0.0010807216946791,0.0154456844075402,-0.035228691883744,0,0,0,0.0230183839461753,"2"
"10","3/14/2017",0.791236458276318,-0.00338474917863163,-0.00499712744655445,-0.00123588148721865,-0.00211469620332139,-0.00352500002134981,0.0175060839688611,-0.00766287274556909,0,0,0,-0.0149178100002856,"2"
"11","3/13/2017",0.63764163727711,0.000366565599366986,0.0100193516399558,0.00148531313836031,-0.00102909078704094,0.00935810684855287,0.0240307107161681,0.0153849188394795,0,0,0,-0.00208333408685446,"4"
"12","3/10/2017",0.730327735341997,0.00326333993002681,-0.0061776258239572,0.0146973797772674,0.00214510451987771,-0.00670514558437318,0.0103502715805679,-0.00772204609391036,0,0,0,-0.0144630620275543,"2"
"13","3/9/2017",0.660956987668839,0.000799575731853075,0.0178645527658644,0.00334697814314922,0.000117897335353945,-0.00719635844820665,0.0271525504041364,0.0116055461203081,0,0,0,-0.0219120148494572,"4"
"14","3/8/2017",0.956734689811676,-0.00228682834056304,0.0161962853070956,-0.00466971522960868,-0.00330438261562094,-0.00853513593379507,0.00390137276334773,0.0196469973837964,0,0,0,-0.0556186645817669,"4"
"15","3/7/2017",0.784373414365459,-0.00291762589499278,0.00839836969883156,-0.00180719399624252,-0.00141264139843145,-0.00606963592218168,0.00913527524487734,0.0119761910467157,0,0,0,-0.0096345318791462,"4"
"16","3/6/2017",0.720415913948794,-0.00328262251385691,-0.000802890448590277,-0.00463492233749996,-0.00244857309328239,0.00195129945242822,0.0145501671685111,0,0,0,0,-0.00262861585828444,"4"
"17","3/3/2017",0.620442480104234,0.000503750237377254,0.00120457753975178,-0.00489988846216072,0.000130460652270514,-0.0117717424975154,0.00533514038544206,0,0,0,0,0.0132127252468233,"4"
"18","3/2/2017",0.697451708810461,-0.00587711694571169,0.010500904247054,0.00879210068640646,-0.0053458831961688,-0.00220941299429889,0.023700333977333,0.0121213605323449,0,0,0,-0.0223588459330721,"4"
"19","3/1/2017",0.887222190953078,0.0135812109313251,0.0435663170232216,0.0142578784652887,0.0144684865982345,-0.0046838493124266,0.0270984726704108,0.0414997309067529,0,0,0,-0.00333890126551495,"2"
"20","2/28/2017",0.382786002930541,-0.00257325775248507,-0.00465412306146917,0.000602699285700226,-0.00121005603252655,-0.00346869554176887,0.00565680673026145,0,0,0,0,-0.000740466527723527,"4"
"21","2/27/2017",0.587919317182397,0.00100901703730738,0.0221946797264095,-0.00917243883597685,0.000752759584148777,0.000716674660393046,0.00495847661294366,0.0214140945038164,0,0,0,0.000925668861802453,"4"
"22","2/24/2017",0.516425090927109,0.001492250106371,-0.0301829500801166,-0.0045490638531156,0.000549550263446719,0.0144424221721424,0.00286101202922362,-0.0298529631496811,0,0,0,-0.00903481761106129,"2"
"23","2/23/2017",0.982754655980769,0.000418899295217656,-0.0133113446382395,-0.000433956724304352,0.00166982998738519,-0.000121219467994926,-0.00142511434661471,-0.0166670524852117,-0.0434851119397388,0.00621120009264065,0.00104602519997954,0.0160980440018106,"4"
"24","2/22/2017",0.572864013944313,-0.00108278637816817,-0.00288838657586932,-8.10246123243985e-05,0.00157036205486527,0.00713651556931971,0,-0.00412371718386217,0,0,0,-0.00761873052502349,"4"
"25","2/21/2017",0.686106337870731,0.00770699930009489,-0.00943209781217136,0.00760414308585844,0.0059585388502672,-0.0102830751060266,0,0.00412371718386217,0,0,0,0.0113563540127908,"2"
"26","2/16/2017",0.591652592586883,-0.000864491475070395,-0.0210023874880836,-0.00585299092456815,0.000383693310507027,0.00375280387173405,-0.00143589768260891,-0.0123204843880407,0,0,0,0.00563275991737111,"4"
