,Date,Sentiment
0,4/13/2017,0.9668646047685266
1,4/12/2017,0.6497172401765937
2,4/11/2017,0.819999413709445
3,4/10/2017,0.8236571270553267
4,4/7/2017,0.8306179448407641
5,4/6/2017,0.6631966714968843
6,4/5/2017,1.0875590711095198
7,4/4/2017,0.27831444375156433
8,4/3/2017,0.8979613551765891
9,3/31/2017,0.5755180348703895
10,3/30/2017,0.7688262092113465
11,3/29/2017,0.809343450112598
12,3/28/2017,0.47888347761436684
13,3/27/2017,0.5604788379538755
14,3/24/2017,0.6481244372818306
15,3/23/2017,0.8547317984687122
16,3/22/2017,0.5452596324776631
17,3/21/2017,0.6368188247895816
18,3/20/2017,0.6444016673167576
19,3/17/2017,0.7827758739152761
20,3/16/2017,0.8118730315467095
21,3/15/2017,0.8960175213061281
22,3/14/2017,0.7912364582763179
23,3/13/2017,0.6376416372771101
24,3/10/2017,0.7303277353419972
25,3/9/2017,0.660956987668839
26,3/8/2017,0.9567346898116763
27,3/7/2017,0.7843734143654587
28,3/6/2017,0.7204159139487945
29,3/3/2017,0.6204424801042336
30,3/2/2017,0.6974517088104608
31,3/1/2017,0.887222190953078
32,2/28/2017,0.38278600293054105
33,2/27/2017,0.5879193171823973
34,2/24/2017,0.5164250909271089
35,2/23/2017,0.982754655980769
36,2/22/2017,0.5728640139443134
37,2/21/2017,0.6861063378707313
38,2/17/2017,0.5757461124840969
39,2/16/2017,0.5916525925868832
40,2/15/2017,0.7173226074699547
41,2/14/2017,0.9957321278594712
42,2/13/2017,0.7230159407454507
43,2/10/2017,0.8630348659015091
44,2/9/2017,0.58461959885898
45,2/8/2017,0.5663147132767238
46,2/7/2017,0.6563436993657882
47,2/6/2017,0.7337354771191456
48,2/3/2017,0.8898455929041084
49,2/2/2017,0.546186242969587
50,2/1/2017,0.6561150026742103
51,1/31/2017,0.8018908516982723
52,1/30/2017,0.6359486076352259
53,1/27/2017,0.8250550784916583
54,1/26/2017,0.8509036669040746
55,1/25/2017,0.6718661207497766
56,1/24/2017,0.6881091049637553
57,1/23/2017,-0.014301232291396638
58,1/20/2017,0.7221347837909627
59,1/19/2017,0.08693124843455047
60,1/18/2017,0.4648838931643226
61,1/17/2017,0.943412932049086
62,1/13/2017,0.5369494955924934
63,1/12/2017,0.5996281541022964
64,1/11/2017,0.8623924100406144
65,1/10/2017,0.8354336983085361
66,1/9/2017,0.4849787233962754
67,1/6/2017,0.8328204676924813
68,1/5/2017,0.30771424751326903
69,1/4/2017,0.6120101954103813
70,1/3/2017,0.7361790826697231
71,12/30/2016,0.5088364011759957
72,12/29/2016,0.49839004428386724
73,12/28/2016,0.2497990995371348
74,12/27/2016,0.5083592332009826
75,12/23/2016,1.19795924849187
76,12/22/2016,0.8601325481357134
77,12/21/2016,0.639106848437295
78,12/20/2016,0.7786662716201008
79,12/19/2016,0.46878094842714574
80,12/16/2016,0.6884050413903591
81,12/15/2016,0.7956770708525926
82,12/14/2016,0.9697199853374592
83,12/13/2016,0.571231927305264
84,12/12/2016,0.4519252310615741
85,12/9/2016,0.9268515505747659
86,12/8/2016,0.49888291821597364
87,12/7/2016,0.5779813962099274
88,12/6/2016,0.8640304630144362
89,12/5/2016,0.5350564149477511
90,12/2/2016,0.5731389410123129
91,12/1/2016,0.5647334653969033
92,11/30/2016,0.5207586334277827
93,11/29/2016,0.630940916650327
94,11/28/2016,0.5944978881405761
95,11/25/2016,0.623807906286243
96,11/23/2016,0.6644604444858023
97,11/22/2016,0.8509651508026791
98,11/21/2016,0.5390883416434225
99,11/18/2016,0.4538063793686201
100,11/17/2016,0.7477544329164935
101,11/16/2016,0.41284138553436467
102,11/15/2016,0.6537944250691209
103,11/14/2016,0.33680271273685997
104,11/11/2016,0.9236394239829212
105,11/10/2016,0.8631196095495427
106,11/9/2016,0.9173058062917334
107,11/8/2016,0.389665119961272
108,11/7/2016,0.5277395211197754
109,11/4/2016,0.7956302968139404
110,11/3/2016,0.7136983499013901
111,11/2/2016,0.5925015482645809
112,11/1/2016,0.6514359227769303
113,10/31/2016,0.36161565896605563
114,10/28/2016,0.49851306395819006
115,10/27/2016,0.588966415069049
116,10/26/2016,0.7699199053514251
117,10/25/2016,0.579046471893726
118,10/24/2016,0.5060664258982527
119,10/21/2016,0.5777698389879418
120,10/20/2016,0.4682357906007287
121,10/19/2016,0.7291965711168108
122,10/18/2016,0.8569553735883512
123,10/17/2016,0.6938353697550831
124,10/14/2016,0.5562110636975559
125,10/13/2016,0.6786489333618182
126,10/12/2016,0.49230868060750627
127,10/11/2016,0.302760846076288
128,10/10/2016,0.5208266572186938
129,10/7/2016,1.0613899282279797
130,10/6/2016,0.3565430929523633
131,10/5/2016,0.605746648693715
132,10/4/2016,0.4032170674005332
133,10/3/2016,0.5075010115948114
134,9/30/2016,0.211901330715297
135,9/29/2016,0.7537242413426275
136,9/28/2016,0.6072139278435678
137,9/27/2016,0.731963217287461
138,9/26/2016,0.8888881356910932
139,9/23/2016,0.7474994743128532
140,9/22/2016,0.7128699114304916
141,9/21/2016,0.6592660383729257
142,9/20/2016,0.6395620173250199
143,9/19/2016,0.7715965582718952
144,9/16/2016,0.7639081349501461
145,9/15/2016,0.359035568600904
146,9/14/2016,0.6213900399985659
147,9/13/2016,0.575575286573115
148,9/12/2016,0.7477236373380286
149,9/9/2016,0.4863193820445747
150,9/8/2016,0.857404775116204
151,9/7/2016,0.7506533017489567
152,9/6/2016,0.785650611498372
153,9/2/2016,0.7288136241202763
154,9/1/2016,0.483507411814421
155,8/31/2016,0.30457590807060897
