Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
12/9/2016,142.467407,35.954767,72.528093,67.29013,159.525372
12/8/2016,139.626996,35.568477,71.262437,65.215655,158.728355
12/7/2016,140.222892,34.934565,71.410758,66.209479,158.808045
12/6/2016,144.11604,34.696845,71.30199,66.537531,156.735783
12/5/2016,144.2948,36.687731,70.866917,66.547182,157.044629
12/2/2016,143.023568,36.18258,71.203112,65.775282,160.133108
12/1/2016,141.41467,36.2222,71.074563,65.370038,160.342334
11/30/2016,143.08317,37.004689,72.191906,66.34456,157.732069
11/29/2016,144.999943,37.161738,72.597308,66.537531,156.382091
11/28/2016,144.07632,37.44639,73.160921,66.653319,150.944099
11/25/2016,144.43384,37.505281,74.673776,67.135754,151.63873
11/23/2016,144.036586,37.407127,74.930864,66.392799,152.363131
11/22/2016,143.341384,37.132292,72.775292,65.698091,151.092943
11/21/2016,144.553028,38.0844,79.677082,67.666429,149.257132
11/18/2016,144.235213,37.848828,80.023159,68.158516,148.304484
11/17/2016,146.350628,38.17274,80.883413,69.991773,149.614373
11/16/2016,146.221514,37.367864,79.983606,69.654069,150.338774
11/15/2016,146.05268,36.906531,79.370551,69.374256,151.063174
11/14/2016,145.417064,40.273271,77.867586,69.509337,151.112794
11/11/2016,147.025958,39.900282,81.150384,70.908398,145.297709
11/10/2016,149.521783,39.321163,81.793102,71.468025,145.009939
11/9/2016,144.441368,39.232823,81.931533,71.680298,140.81235
11/8/2016,136.579069,38.054954,83.394945,68.776033,141.804686
11/7/2016,137.328808,40.027882,83.009316,68.409384,140.842119
11/4/2016,133.570281,39.497844,81.2196,67.782216,136.654479
11/3/2016,133.392721,38.477024,80.68565,67.463807,136.773554
11/2/2016,136.82569,42.530854,80.181362,68.756738,137.914734
11/1/2016,138.85785,42.324724,80.013269,68.843573,138.361281
10/31/2016,139.252454,41.951736,81.100942,68.525164,140.246727
10/28/2016,143.218119,41.53948,81.011954,68.573411,139.274243
10/27/2016,158.400163,42.354174,80.220915,69.094442,140.852052
10/26/2016,156.841512,42.5603,80.211032,68.6313,141.139823
10/25/2016,155.76623,43.04126,81.545904,70.078608,142.677945
10/24/2016,156.614609,42.697717,82.366605,72.799545,143.580974
10/21/2016,156.367988,43.188495,82.969771,72.886387,144.255755
10/20/2016,159.317588,43.394621,83.078531,73.253035,143.958066
10/19/2016,158.903266,42.540668,82.732454,72.992523,143.263419
10/18/2016,160.600024,42.462142,82.613804,73.629335,142.290935
10/17/2016,160.422448,41.019256,81.644782,72.924983,133.101917
10/14/2016,159.712177,42.167676,81.783212,73.417062,132.89352
10/13/2016,162.069879,43.46333,82.376488,74.063531,133.161455
10/12/2016,161.665431,43.306281,82.742344,73.687232,134.064484
10/11/2016,162.099488,43.738169,82.26772,74.11177,133.71716
10/10/2016,166.03556,44.209315,85.204441,75.018752,137.021638
10/7/2016,165.236508,44.228947,84.996795,75.539783,135.612524
10/6/2016,164.64461,44.562676,84.986905,75.694159,135.423978
10/5/2016,164.980027,44.356547,85.332989,76.350272,136.545321
10/4/2016,165.285835,44.425255,85.145116,76.08976,137.101027
10/3/2016,165.078666,44.837511,85.421977,76.224841,137.428499
9/30/2016,164.55583,45.161423,85.431867,76.186245,138.92692
9/29/2016,163.214207,45.436261,84.443073,76.466059,137.259804
9/28/2016,167.41665,47.782181,85.768054,78.366857,139.333781
9/27/2016,169.310702,48.557612,85.698839,78.038797,139.710858
9/26/2016,171.185021,49.342856,85.590071,77.894072,138.649067
9/23/2016,172.437863,50.520725,86.727186,78.617725,139.433005
9/22/2016,173.246774,50.28515,86.835954,79.1484,139.958942
