Date,Ford Motor Company (F),Apple Inc. (AAPL),The Procter & Gamble Company (PG),The Coca-Cola Company (KO),Canon Inc. (CAJ)
12/5/2016,12.242696,108.638987,82.337454,40.264609,29
12/2/2016,12.045868,109.425578,81.752096,40.006886,28.870001
12/1/2016,12.232855,109.017344,81.216342,39.818546,28.639999
11/30/2016,11.770309,110.042897,81.811622,39.996971,28.91
11/29/2016,11.730944,110.978841,82.238241,40.789975,28.75
11/28/2016,11.730944,111.088367,82.416826,41.037786,28.629999
11/25/2016,11.84904,111.307418,82.803759,40.821537,28.25
11/23/2016,11.71126,110.749838,82.029894,40.418532,28.08
11/22/2016,11.70142,111.317377,82.109266,40.664267,28.209999
11/21/2016,11.603005,111.24768,81.990207,40.654439,28.15
11/18/2016,11.573481,109.584883,81.35524,40.212115,28.190001
11/17/2016,11.681736,109.475358,82.416826,40.418532,28.450001
11/16/2016,11.809675,109.515186,82.535886,40.556143,28.030001
11/15/2016,11.84904,106.647621,82.962505,40.733073,28.08
11/14/2016,11.868724,105.253663,82.347377,40.467678,28.030001
11/11/2016,12.085234,107.961922,82.922819,40.330067,27.870001
11/10/2016,11.750626,107.324686,82.307691,40.241602,27.93
11/9/2016,11.396336,110.401343,85.254339,41.548915,28.5
11/8/2016,11.297922,110.580566,86.772308,42.14851,28.43
11/7/2016,11.396336,109.933378,85.879383,41.735673,28.360001
11/4/2016,11.160143,108.370149,84.411024,40.978808,28.58
11/3/2016,11.169984,109.35588,85.919069,41.313008,28.629999
11/2/2016,11.219191,110.540737,86.057968,41.332667,28.700001
11/1/2016,11.42586,110.441678,86.167103,41.401473,28.610001
10/31/2016,11.553798,112.472406,86.117501,41.676699,28.719999
10/28/2016,11.534116,112.650713,86.15718,41.509597,28.41
10/27/2016,11.553798,113.403569,85.89923,41.401473,28.139999
10/26/2016,11.691578,114.503125,86.712782,41.716013,27.959999
10/25/2016,11.662054,117.138118,86.286163,41.81431,29.379999
10/24/2016,11.84904,116.543761,83.438726,41.833969,29.48
10/21/2016,11.683796,115.503631,83.666921,41.411304,29.34
10/20/2016,11.635194,115.959304,84.262202,41.214715,29.18
10/19/2016,11.674075,116.018745,84.867406,41.332667,29.190001
10/18/2016,11.557432,116.365453,86.097654,41.254034,29.24
10/17/2016,11.547711,116.444703,86.471782,40.890343,28.950001
10/14/2016,11.576872,116.523945,87.062502,40.959148,28.809999
10/13/2016,11.576872,115.880062,86.875438,41.047613,28.74
10/12/2016,11.625474,116.23667,87.200337,41.067273,28.860001
10/11/2016,11.654634,115.206456,87.170802,40.831369,28.959999
10/10/2016,11.780998,114.958807,87.682757,41.018126,29.059999
10/7/2016,11.946243,112.987513,88.608223,41.018126,29.02
10/6/2016,12.043447,112.819113,87.840286,40.998467,28.85
10/5/2016,12.130929,111.987015,87.476006,41.096763,29.01
10/4/2016,11.858761,111.937482,86.983738,41.12625,28.809999
10/3/2016,11.761558,111.461992,87.288949,41.313008,29
9/30/2016,11.732397,111.987015,88.362089,41.598062,29.030001
9/29/2016,11.635194,111.125193,86.865598,41.313008,29.15
9/28/2016,11.751838,112.878547,88.076573,41.430963,29.17
9/27/2016,11.644914,112.026632,86.993585,41.863456,29.110001
9/26/2016,11.674075,111.818608,86.49147,41.332667,28.98
9/23/2016,11.8296,111.650208,86.402865,42.010899,28.9
9/22/2016,11.83932,113.542252,87.61384,42.227143,29.290001
9/21/2016,11.751838,112.482314,86.442247,41.804478,29.049999
9/20/2016,11.664355,112.502122,87.210184,41.617721,28.530001
9/19/2016,11.771278,112.51203,87.003433,41.381813,28.370001
9/16/2016,11.771278,113.839427,86.688381,41.421132,28.26
9/15/2016,11.771278,114.483317,86.698221,41.63738,28.43
9/14/2016,11.800439,110.719044,85.664463,41.391645,28.18
9/13/2016,12.033726,106.934963,85.703846,41.558743,28.370001
9/12/2016,12.344775,104.44857,86.885286,42.109192,28.629999
9/9/2016,12.033726,102.160285,84.906366,41.212216,29.040001
9/8/2016,12.373936,104.527812,86.422552,42.538183,29.540001
9/7/2016,12.344775,107.341112,86.589922,42.547931,29.639999
9/6/2016,12.315615,106.687314,87.269254,42.694179,29.559999
9/2/2016,12.15037,106.717038,86.836056,42.567431,28.889999
9/1/2016,12.092047,105.726441,86.944355,42.265188,28.73
8/31/2016,12.247573,105.10236,85.959819,42.343187,28.629999
8/30/2016,12.198971,105.003302,86.186266,42.157943,28.450001
8/29/2016,12.121209,105.815591,86.934515,42.450435,28.389999
8/26/2016,12.033726,105.934466,86.225648,42.23594,28.41
8/25/2016,12.121209,106.558539,86.540699,42.577179,28.610001
8/24/2016,11.955964,107.014213,85.959819,42.752675,28.610001
8/23/2016,12.072607,107.826502,86.048432,42.752675,28.620001
8/22/2016,12.014285,107.489703,85.506934,42.645431,28.700001
8/19/2016,12.043447,108.331709,85.959819,42.820923,28.889999
8/18/2016,11.985124,108.054343,86.087814,42.996419,28.92
8/17/2016,12.043447,108.193026,85.615233,42.957423,28.84
8/16/2016,11.994845,108.351518,85.241113,42.733179,28.690001
8/15/2016,12.082328,108.450584,85.674303,43.132919,28.77
8/12/2016,11.985124,107.162804,85.693998,42.928171,28.68
8/11/2016,11.965684,106.915155,85.388794,42.655179,28.950001
8/10/2016,11.907362,106.984496,84.975284,42.518683,28.76
8/9/2016,11.965684,107.786878,84.660232,42.382187,28.610001
8/8/2016,11.83932,107.35102,84.433793,42.352936,28.549999
8/5/2016,11.84904,106.469389,84.453481,42.391935,28.51
8/4/2016,11.742117,104.874527,84.71931,42.421184,28.26
8/3/2016,11.790719,104.230638,84.640545,42.547931,27.879999
8/2/2016,11.606033,102.93995,85.418329,42.440683,27.889999
8/1/2016,12.130929,104.486808,85.073743,42.362687,28.18
7/29/2016,12.305894,102.673926,84.266417,42.538183,28.27
7/28/2016,12.354496,102.802007,83.49848,42.557683,27.690001
7/27/2016,13.452889,101.432497,83.153894,42.313939,27.77
7/26/2016,13.472329,95.245066,83.951365,43.756903,27.299999
7/25/2016,13.297364,95.905188,84.473176,44.429634,28.23
7/22/2016,13.306979,97.205739,84.394411,44.68313,28.059999
7/21/2016,13.383898,97.964385,83.941526,44.312638,27.92
7/20/2016,13.21083,98.486572,84.000595,44.371135,27.98
7/19/2016,13.124296,98.397902,84.177811,44.488134,28.15
7/18/2016,13.124296,98.358491,83.943361,44.488134,28.16
7/15/2016,13.047377,97.323965,84.021514,44.488134,28.18
7/14/2016,13.066608,97.33382,83.884751,44.54663,28.790001
7/13/2016,12.960843,95.442123,83.904285,44.595382,28.549999
7/12/2016,12.931999,95.984011,83.767523,44.439386,28.85
7/11/2016,12.758932,95.550502,83.767523,44.429634,28.639999
7/8/2016,12.585864,95.254921,83.787057,44.24439,28.190001
7/7/2016,12.258958,94.525831,82.868794,43.961647,28.049999
7/6/2016,12.08589,94.12187,83.064167,44.137143,28.219999
7/5/2016,11.922438,93.589829,83.464692,44.293138,28.32
7/1/2016,12.230114,94.476565,82.819947,43.990895,28.360001
6/30/2016,12.08589,94.190838,82.71249,44.195642,28.610001
6/29/2016,12.066661,93.00853,81.970066,43.327911,28.65
6/28/2016,11.912823,92.210464,80.553584,43.074419,28.459999
6/27/2016,11.691681,90.683316,79.352025,42.684427,27.99
6/24/2016,12.037817,92.02327,80.358211,42.830675,29.18
6/23/2016,12.883925,94.683468,82.263125,43.951899,29.99
6/22/2016,12.672398,94.14158,81.637922,43.737403,29.5
6/21/2016,12.710858,94.496274,81.481625,44.000647,29.639999
6/20/2016,12.903155,93.698208,81.120177,43.854399,29.040001
6/17/2016,12.749317,93.924821,81.208092,43.669155,28.889999
6/16/2016,12.614708,96.1121,81.481625,44.176142,28.700001
6/15/2016,12.508945,95.708139,81.032254,43.883647,28.41
6/14/2016,12.345492,96.023422,81.423007,43.912899,28.110001
6/13/2016,12.4801,95.905188,80.661042,43.990895,28.32
6/10/2016,12.595479,97.373231,81.276474,44.497883,28.549999
6/9/2016,12.749317,98.181144,81.247168,44.275342,28.92
6/8/2016,12.845465,97.48161,80.739194,44.072156,29.15
6/7/2016,12.864695,97.57028,80.416821,43.849619,29.15
6/6/2016,12.672398,97.176174,80.856415,43.897996,29.17
6/3/2016,12.53779,96.476641,80.563355,43.578704,28.809999
6/2/2016,12.701242,96.279592,80.055373,43.269087,28.85
6/1/2016,12.605093,97.008682,79.899076,43.249735,28.93
5/31/2016,12.970459,98.388047,79.166415,43.152978,28.85
5/27/2016,12.931999,98.870823,79.547398,43.327138,28.57
5/26/2016,12.941614,98.929943,79.342254,43.240058,28.559999
5/25/2016,12.999304,98.151587,79.596245,42.940118,28.610001
5/24/2016,12.778161,96.456939,79.098034,42.93044,28.459999
5/23/2016,12.624324,95.008606,78.345832,42.54342,28.17
5/20/2016,12.682012,93.816442,78.169993,42.524069,28.1
5/19/2016,12.585864,92.811473,78.336068,42.882063,27.83
5/18/2016,12.653168,93.166167,78.003925,43.036872,28.139999
5/17/2016,12.633939,92.111939,78.756127,43.298112,28.040001
5/16/2016,12.807006,92.49619,79.742771,44.139885,28.360001
5/13/2016,12.710858,89.185717,79.352025,43.878644,27.84
5/12/2016,12.835851,89.00837,80.504744,44.343074,28.09
5/11/2016,12.807006,91.146389,80.250753,43.985076,28.040001
5/10/2016,12.970459,92.042972,80.573126,44.265668,28.370001
5/9/2016,12.807006,91.422261,80.221448,43.772216,27.719999
5/6/2016,12.922384,91.353293,80.231212,43.849619,28.01
5/5/2016,12.807006,91.865625,79.420406,43.598056,27.93
5/4/2016,12.797392,92.240024,79.713466,43.52065,27.799999
5/3/2016,12.91277,93.209527,79.225026,43.385192,28
5/2/2016,13.095452,91.701408,79.098034,43.52065,28.35
4/29/2016,13.037763,91.799336,78.267687,43.346489,27.93
4/28/2016,13.547351,92.866774,77.916009,43.182007,28.059999
4/27/2016,13.133911,95.794871,78.043001,43.230384,28.959999
4/26/2016,13.076223,102.189682,77.710865,43.085249,29.059999
4/25/2016,12.914553,102.904573,79.527864,43.259409,30.5
4/22/2016,12.943083,103.492149,79.078492,43.094927,30.639999
4/21/2016,12.981122,103.776147,78.931966,42.243477,30.42
4/20/2016,12.971613,104.912128,79.664626,42.93044,30.790001
4/19/2016,12.781413,104.696689,81.354626,45.088089,30.790001
4/18/2016,12.600724,105.254888,80.915033,44.72042,30.219999
4/15/2016,12.305914,107.575818,80.397287,44.604311,29.889999
4/14/2016,12.448564,109.779237,80.113991,44.343074,30.07
4/13/2016,12.420034,109.720482,79.899073,44.54626,29.950001
4/12/2016,12.182285,108.153607,80.257585,45.136469,29.35
4/11/2016,12.039635,106.762999,80.160692,44.93328,29
4/8/2016,11.935025,106.410459,80.616089,45.349329,28.98
4/7/2016,11.906495,106.292941,80.654848,44.855877,28.41
4/6/2016,12.191794,108.662839,81.207145,45.19452,28.82
4/5/2016,12.144245,107.536645,80.577338,45.02036,28.540001
4/4/2016,12.172775,108.81953,80.625781,45.368681,28.91
4/1/2016,12.458074,107.712919,80.935842,45.31063,29.190001
3/31/2016,12.838473,106.733621,79.75373,44.884903,29.82
3/30/2016,12.695824,107.291821,80.112242,45.068741,29.870001
3/29/2016,12.553174,105.450744,80.228518,44.971983,29.92
3/28/2016,12.448564,103.012296,80.054108,44.314045,29.73
3/24/2016,12.420034,103.482354,80.315719,44.101185,29.360001
3/23/2016,12.610234,103.93283,80.247894,43.985076,29.690001
3/22/2016,12.924063,104.51062,80.170376,44.023779,29.950001
3/21/2016,12.990633,103.717391,80.732365,44.188262,30.299999
3/18/2016,12.971613,103.727179,80.567647,44.120533,30.120001
3/17/2016,12.809943,103.609668,80.180068,44.285019,29.76
3/16/2016,12.838473,103.776147,78.813854,43.588378,29.93
3/15/2016,12.581703,102.414924,78.784787,43.772216,29.68
3/14/2016,12.619744,100.397566,78.649135,43.820593,29.91
3/11/2016,12.638763,100.142954,79.211124,43.733513,29.91
3/10/2016,12.505623,99.075516,79.724663,43.423896,29.1
3/9/2016,12.543663,99.026556,80.383545,43.020669,29.68
3/8/2016,12.581703,98.938415,80.480438,42.550234,29.139999
3/7/2016,12.952593,99.761029,80.519196,42.252612,29.4
3/4/2016,12.924063,100.877427,80.897084,42.348621,29.629999
3/3/2016,12.876513,99.398686,80.267269,42.204609,29.1
3/2/2016,12.572194,98.664213,79.986282,42.022197,28.99
3/1/2016,12.448564,98.448766,78.707277,41.94539,28.690001
2/29/2016,11.896985,94.688268,77.796468,41.407754,28.200001
2/26/2016,11.858945,94.903715,78.58131,41.417353,29.120001
2/25/2016,11.782866,94.756818,79.782797,42.396623,29.15
2/24/2016,11.488056,94.110479,79.027023,42.156606,29.17
2/23/2016,11.811395,92.729673,79.269259,41.94539,29.129999
2/22/2016,11.944535,94.874329,79.57932,42.185407,29.42
2/19/2016,11.507076,94.051723,79.249883,42.022197,28.82
2/18/2016,11.659236,94.26717,79.433985,41.868586,29.1
2/17/2016,11.668746,96.088664,79.889382,41.753379,28.6
2/16/2016,11.288346,94.6393,78.939821,41.628569,28.17
2/12/2016,10.984027,92.04416,78.474725,41.388552,27.110001
2/11/2016,10.622648,91.760163,77.418581,40.716503,26.82
2/10/2016,10.784318,92.318363,79.085164,40.850912,27.18
2/9/2016,10.793828,93.023458,80.073483,41.570964,27.75
2/8/2016,11.022067,93.043048,80.054108,40.946921,28.139999
2/5/2016,10.888927,92.073538,78.678203,40.745304,28.139999
2/4/2016,10.965007,94.600127,78.193731,40.831711,27.969999
2/3/2016,10.898437,93.846074,78.58131,41.014126,27.559999
2/2/2016,10.945987,92.024676,77.728642,40.745304,27.620001
2/1/2016,11.478546,93.923996,78.600693,41.282944,27.860001
1/29/2016,11.354916,94.810344,79.15299,41.206137,28.01
1/28/2016,11.136187,91.644804,77.341063,40.870114,27.93
1/27/2016,11.269327,90.992218,76.352744,40.409282,27.83
1/26/2016,11.278837,97.391477,76.362428,40.399683,28.01
1/25/2016,11.021244,96.855775,74.4633,40.476486,27.700001
