Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
12/8/2016,4.530442,34.334264,119.569913,197.070007,69.826568
12/7/2016,4.490526,34.383858,119.043786,196.12,70.084672
12/6/2016,4.400716,34.07141,118.378684,192.93649,69.350075
12/5/2016,4.320884,34.061493,118.418392,194.104107,68.936105
12/2/2016,4.290948,34.111087,117.376061,192.40757,69.862608
12/1/2016,4.5504,34.646708,117.604384,191.798811,69.655623
11/30/2016,4.560379,34.473128,118.398534,191.279866,69.41907
11/29/2016,4.600295,34.785572,119.798236,189.932623,70.34558
11/28/2016,4.530442,33.877992,119.996775,189.643204,70.168163
11/25/2016,4.600295,34.299548,118.85414,191.140151,70.20759
11/23/2016,4.580337,34.200357,118.341918,189.733017,69.81333
11/22/2016,4.600295,34.230112,117.898656,187.697176,69.113522
11/21/2016,4.560379,33.823438,117.711498,187.767026,68.374287
11/18/2016,4.5504,33.89287,118.204014,186.908776,67.556199
11/17/2016,4.570358,33.967262,117.662243,184.703283,68.19687
11/16/2016,4.510484,33.4614,117.425837,183.445853,70.365289
11/15/2016,4.570358,33.218388,116.549158,185.012649,70.394857
11/14/2016,4.480547,33.357252,116.096043,185.781086,69.478206
11/11/2016,4.350821,32.960495,112.510522,183.316113,70.20759
11/10/2016,4.300926,32.286009,112.796183,183.196362,70.365289
11/9/2016,4.280968,31.467702,113.25915,180.801238,70.079451
11/8/2016,4.261011,31.006473,112.402168,180.940952,68.788257
11/7/2016,4.211116,30.505567,111.131474,179.653585,68.778398
11/4/2016,4.121305,30.084015,109.378115,174.444208,68.167302
11/3/2016,4.11135,30.227839,110.047939,173.29654,68.63055
11/2/2016,4.11135,30.485731,110.707909,172.029136,68.453133
11/1/2016,4.141215,30.475812,110.570005,171.18086,68.305292
10/31/2016,4.15117,30.659311,110.885215,173.96519,69.014951
10/28/2016,4.091441,30.689068,110.422249,173.895325,68.985383
10/27/2016,4.091441,30.49069,110.402551,174.045013,68.827683
10/26/2016,4.220853,31.026311,110.432101,173.236664,68.591123
10/25/2016,4.171079,31.998361,111.032972,171.58004,68.364428
10/24/2016,4.161124,32.216577,111.870249,171.729743,68.19687
10/21/2016,4.13126,31.770226,112.224862,169.853565,67.359065
10/20/2016,4.11135,31.914051,108.915149,169.354583,67.743474
10/19/2016,4.121305,32.191783,109.594824,170.113046,67.901174
10/18/2016,4.081486,32.176901,109.584972,170.392475,67.881464
10/17/2016,4.091441,32.246333,110.727614,170.492262,67.240792
10/14/2016,4.091441,32.335603,112.382463,170.631976,67.467487
10/13/2016,4.081486,32.29593,113.682714,170.602039,67.250651
10/12/2016,4.081486,32.355441,112.993186,173.186763,66.491699
10/11/2016,4.061576,32.216577,111.978603,173.725673,66.422704
10/10/2016,4.121305,32.623252,112.993186,173.855413,67.004239
10/7/2016,4.141215,32.414956,111.752042,172.657843,67.713898
10/6/2016,4.141215,32.439755,112.215009,172.737682,68.364428
10/5/2016,4.141215,32.633173,111.712647,173.905299,70.641269
10/4/2016,4.161124,32.648051,111.801297,173.246654,70.720123
10/3/2016,4.171079,32.826591,112.924234,173.945226,70.976393
9/30/2016,4.15117,32.764595,113.63346,174.324442,71.084814
9/29/2016,4.121305,32.720147,113.071991,174.763549,69.714767
9/28/2016,4.15117,32.932519,113.456153,175.092879,70.759549
9/27/2016,4.141215,32.680634,115.130707,176.93912,71.291799
9/26/2016,4.15117,32.502834,114.785947,174.983102,70.591991
9/23/2016,4.190989,33.164647,115.416368,174.035039,71.311509
9/22/2016,4.190989,33.238731,115.603527,173.306529,71.232655
9/21/2016,4.161124,33.169587,115.179962,173.506119,71.153809
9/20/2016,4.11135,32.71027,114.707143,162.31893,70.936966
9/19/2016,4.121305,32.52259,113.485703,160.93176,71.055239
9/16/2016,4.091441,32.557162,113.554655,158.566588,71.824049
9/15/2016,4.15117,32.715207,114.401785,159.744195,71.360794
9/14/2016,4.071531,32.186745,113.456153,159.125446,70.493421
9/13/2016,4.071531,31.989189,113.012891,160.023623,70.434284
9/12/2016,4.121305,32.478142,114.214626,162.927689,70.907398
9/9/2016,4.081486,32.157113,112.865135,160.522606,69.290938
9/8/2016,4.181034,32.675698,114.431334,165.063332,70.798976
9/7/2016,4.161124,32.769535,115.170109,164.464558,71.025671
9/6/2016,4.141215,32.764595,115.495172,164.09621,71.95218
9/2/2016,4.161124,32.675698,114.096427,164.753275,71.459357
9/1/2016,4.13126,32.542346,113.672862,164.902601,71.794473
8/31/2016,4.121305,32.231197,113.928973,164.195755,70.414575
8/30/2016,4.141215,32.374426,113.63346,164.195755,70.286436
8/29/2016,4.141215,32.428754,112.806031,164.434693,70.375148
8/26/2016,4.141215,32.35467,111.857915,164.215671,70.118878
8/25/2016,4.13126,32.379362,112.825576,164.79309,70.197731
8/24/2016,4.121305,32.44357,112.278214,167.481068,71.193236
8/23/2016,4.171079,32.428754,112.590993,167.839465,70.936966
8/22/2016,4.15117,32.813987,112.8158,167.142585,71.656484
8/19/2016,4.171079,32.739903,112.415054,167.879296,71.764905
8/18/2016,4.171079,33.29306,114.487216,166.445704,73.233524
8/17/2016,4.220853,33.470856,114.457894,165.708993,71.883186
8/16/2016,4.181034,33.243668,115.278946,165.987745,71.843759
8/15/2016,4.220853,33.347384,115.845853,165.659213,72.267587
8/12/2016,4.190989,33.342448,116.823291,164.763225,72.829405
8/11/2016,4.210899,33.426408,116.68645,165.051928,72.7407
8/10/2016,4.190989,33.199219,116.119542,163.917003,72.888541
8/9/2016,4.171079,33.041175,115.640593,163.598436,71.991604
8/8/2016,4.200944,33.125135,115.621047,162.971235,71.795811
8/5/2016,4.220853,33.28318,116.520287,162.184759,72.206973
8/4/2016,4.210899,33.179463,115.630824,159.108519,71.75666
8/3/2016,4.210899,33.011539,114.868416,159.894995,71.404239
8/2/2016,4.210899,33.041175,115.044355,158.471353,71.590233
8/1/2016,4.320402,33.357264,115.347366,160.940324,72.226549
7/29/2016,4.370176,33.214036,114.995488,161.179246,71.433606
7/28/2016,4.340312,33.515308,116.725548,160.731252,71.697918
7/27/2016,4.380131,33.54494,116.7842,160.193663,71.776235
7/26/2016,4.330357,33.179463,118.96388,160.781032,72.177606
7/25/2016,4.13126,33.322692,124.525501,159.516682,72.197182
7/22/2016,4.190989,33.317752,125.36609,160.054287,72.001396
7/21/2016,4.141215,33.100439,124.310463,157.704792,71.972021
7/20/2016,4.161124,33.149831,123.215731,159.357406,72.23634
7/19/2016,4.15117,33.135011,123.645806,158.969127,72.10908
7/18/2016,4.15117,33.021419,121.006728,160.044321,72.285283
7/15/2016,4.141215,33.031295,120.821013,159.87508,72.118864
7/14/2016,4.121305,33.100439,121.133792,160.781032,72.148232
7/13/2016,4.071531,33.006603,120.048836,159.705839,72.069922
7/12/2016,4.081486,33.164647,119.491697,159.23793,71.727285
7/11/2016,4.121305,33.29306,119.247338,156.410577,72.500652
7/8/2016,4.101395,33.144891,118.572904,155.524539,72.285283
7/7/2016,4.011802,32.725086,118.191704,151.92066,71.981813
7/6/2016,3.971983,32.152173,117.908247,150.77577,72.265708
