"","Date","Sentiment","log_BOFA","log_AIG","log_HSBC","log_MarMclC","log_GS","log_S&P","log_Int","log_Nikkei","log_Dow","log_Eur","log_GOld","log_LIBOR","log_treasury","log_UNRATE","log_UMSCENT","log_PPIACO","log_DCOILWTICO"
"1","3/27/2017",0.0980752788229424,-0.00390032980255439,0.000820934281217767,0.00319995349977553,0.000536281554952112,-0.012910831699469,-0.00102010733915492,-0.0113137599002733,-0.0144814597956575,-0.0022232225635701,0.00894698549055128,0.0103163776316668,-0.000569974570137764,-0.00836824967051653,0,0,0,-0.00593725238596354
"2","3/24/2017",0.123844793599258,0.00216501487110898,-0.00752742870692025,0.00024662803725084,-0.000536281554952112,-0.0151639412153539,-0.000844352440561025,-0.00747201483870119,0.00924276372915678,-0.00290204278827488,0.00290214574591552,-0.00313014421468427,0.00113008742205832,-0.0041580101486639,0,0,0,0.00636269378782872
"3","3/23/2017",0.158403132086168,0.00565091689245945,0.00163155523823022,0.00123378178801525,0.00228109102556218,0.00358549317399959,-0.00106083204500163,0.00914007193939814,0.00230440711298741,-0.000228506395888672,-0.00471025518220713,0.00144346456498745,-0.00225889918800285,0.0041580101486639,0,0,0,-0.00615125494572588
"4","3/22/2017",0.0946293955857714,-0.00348124800053373,-0.00845526988522494,-0.00345080455143298,0.00322935470539498,-0.00831772835143507,0.00188810257429939,-0.0165566695944477,-0.0215348313110191,-0.000324660148917744,-0.000228345259021268,0.0113392252632973,0.00680229637202939,-0.0124225199985574,0,0,0,0.0057258135438607
"5","3/21/2017",0.116204879482657,-0.0598577719261875,-0.00982850117158129,-0.000492029536273808,-0.0111239054706003,-0.0384776135840523,-0.0124855945152058,-0.0150746386916287,-0.00337164218550079,-0.0114423896529594,0.00186927990488073,-0.000770775478819985,0,-0.0163268932874286,0,0,0,-0.016243369478143
"6","3/20/2017",0.112467105773557,-0.0170389510879017,-0.000801330296938296,-0.00612972374110665,-0.00146501189500547,-0.00740623446407707,-0.00201191595529959,-0.0112586633562026,0,-0.000418922041934167,0.00596221199657521,0.00345283170296806,0.00113652083312136,-0.0120725812342691,0,0,0,-0.0114429626852703
"7","3/17/2017",0.132408356750462,-0.0143771645778763,-0.00781942878031838,-0.0121478656161687,0.00614071074804468,-0.01739315211623,-0.0013151793429671,-0.00836158564724576,-0.00350538620361185,-0.000952546564013446,0.00132846446116197,0.00256687247504939,-0.00227175145285394,-0.0119285708652738,0,0,0,0.000827814616809697
"8","3/16/2017",0.151181745425443,0.00158726226950057,-0.0050737384885835,0.0062984218317248,0.00442866178582779,0.00581820631186414,-0.0016280348187081,0.00556661477205345,0.00065154852622662,-0.000742459615610258,-0.000691021765151234,0.019235718828555,0.0370140790031617,0.00793654959573631,0,0,0,-0.000827814616809697
"9","3/15/2017",0.15689639905549,-0.00554456865977393,0.0055507080462629,0.00976813603887949,0.00134588288469217,-0.00380183268848011,0.00833987929560642,-0.0341008938471778,-0.00163928062084828,0.00539543297758271,-0.000808538684227145,-0.0010807216946791,0.0154456844075402,-0.035228691883744,0,0,0,0.0230183839461753
"10","3/14/2017",0.137124243636849,0.000790241068193254,-0.00475963134968005,-0.0100110712789774,0.000269350771815446,-0.00177463544018597,-0.00338474917863163,-0.00499712744655445,-0.00123588148721865,-0.00211469620332139,0.0151187286386651,-0.00352500002134981,0.0175060839688611,-0.00766287274556909,0,0,0,-0.0149178100002856
"11","3/13/2017",0.102826494493161,-0.000395178839174726,0.00666986750910681,0.0141915272828195,0.00757279217929341,-0.000886136103470214,0.000366565599366986,0.0100193516399558,0.00148531313836031,-0.00102909078704094,0.00850784862913478,0.00935810684855287,0.0240307107161681,0.0153849188394795,0,0,0,-0.00208333408685446
"12","3/10/2017",0.138758424115567,-0.00157919499023551,-0.00205871431938842,0.000246506464673502,0.00776728857738807,-0.00722077915640895,0.00326333993002681,-0.0061776258239572,0.0146973797772674,0.00214510451987771,-0.00381928946875476,-0.00670514558437318,0.0103502715805679,-0.00772204609391036,0,0,0,-0.0144630620275543
"13","3/9/2017",0.118858482787054,0.00355661311484701,-0.00363205738097161,0.00148006937428402,0.00205411428149738,-0.000239846531023602,0.000799575731853075,0.0178645527658644,0.00334697814314922,0.000117897335353945,0.00446884318778018,-0.00719635844820665,0.0271525504041364,0.0116055461203081,0,0,0,-0.0219120148494572
"14","3/8/2017",0.183441522002128,0.00198141538931651,-0.000157644233095944,-0.00148006937428402,-0.0091425445602118,-0.00263395212070172,-0.00228682834056304,0.0161962853070956,-0.00466971522960868,-0.00330438261562094,0.0115690103838055,-0.00853513593379507,0.00390137276334773,0.0196469973837964,0,0,0,-0.0556186645817669
"15","3/7/2017",0.152509800916881,-0.00158545418834022,-0.00518743700658142,-0.00491763961280611,-0.00271291744614999,-0.00441431996482589,-0.00291762589499278,0.00839836969883156,-0.00180719399624252,-0.00141264139843145,-0.00212563948454481,-0.00606963592218168,0.00913527524487734,0.0119761910467157,0,0,0,-0.0096345318791462
"16","3/6/2017",0.11533098033098,-0.00749662205872781,-0.00687506004983529,-0.00586937380421126,-0.00540398982641133,-0.0034858581958801,-0.00328262251385691,-0.000802890448590277,-0.00463492233749996,-0.00244857309328239,0.0122012063325112,0.00195129945242822,0.0145501671685111,0,0,0,0,-0.00262861585828444
"17","3/3/2017",0.105020382395382,0.00828901512713021,0.00499531689295196,0.00586937380421126,0.00121341168640932,0.00726266119533303,0.000503750237377254,0.00120457753975178,-0.00489988846216072,0.000130460652270514,0.000719830114109143,-0.0117717424975154,0.00533514038544206,0,0,0,0,0.0132127252468233
